shipment_id,carrier,origin,destination,distance_km,weight_kg,transit_time_hours,delivery_cost_inr,on_time_flag,distance_km_norm,weight_kg_norm,transit_time_hours_norm,delivery_cost_inr_norm
SHP1000,Metrologix,Delhi,Ahmedabad,506.8,24.8,41.0,1545.16,No,0.5860737096495771,0.08763936015511392,0.5908239700374532,0.14079316120998925
SHP1001,Transglobal,Bangalore,Lucknow,456.5,89.0,41.3,2838.82,Yes,0.49924477818056273,0.5855550169655841,0.5964419475655431,0.602347266250065
SHP1002,Swiftship,Mumbai,Pune,723.1,73.2,25.1,2119.24,No,0.9594553771793545,0.4630150266602036,0.2930711610486891,0.34561435118371225
SHP1003,Transglobal,Mumbai,Lucknow,498.7,103.7,45.3,3097.45,Yes,0.572091317106853,0.6995637421231217,0.6713483146067416,0.6946216955332727
SHP1004,Transglobal,Chennai,Jaipur,398.2,73.7,18.4,2638.945,Yes,0.3986060762989814,0.4668928744546777,0.1676029962546815,0.5310355408006538
SHP1005,Urbancargo,Bangalore,Lucknow,468.8,112.5,47.4,2484.77,Yes,0.5204773001898843,0.7678138633058652,0.7106741573033709,0.4760287351913332
SHP1006,Swiftship,Kolkata,Pune,594.0,63.1,22.8,2396.18,Yes,0.7366002071465562,0.38468250121182745,0.24999999999999994,0.4444214518514291
SHP1007,Swiftship,Bangalore,Jaipur,667.9,24.2,33.7,2087.1,Yes,0.8641679613326428,0.08298594280174502,0.45411985018726597,0.3341473900532854
SHP1008,Swiftship,Chennai,Lucknow,436.7,106.3,46.6,3953.374999999999,Yes,0.46506559640945955,0.7197285506543868,0.6956928838951312,1.0
SHP1009,Transglobal,Chennai,Jaipur,567.2,58.9,37.849999999999994,2202.48,Yes,0.6903374762644572,0.3521085797382453,0.5318352059925093,0.375312852879317
SHP1010,Metrologix,Bangalore,Hyderabad,275.7,74.3,44.2,3114.11,Yes,0.1871439668565509,0.4715462918080465,0.6507490636704121,0.7005656772517829
SHP1011,Swiftship,Chennai,Hyderabad,544.1,80.4,42.2,1843.82,Yes,0.6504617641981703,0.5188560349006301,0.6132958801498128,0.24734955857194596
SHP1012,Transglobal,Bangalore,Lucknow,431.1,74.0,48.9,2723.28,Yes,0.4553987571206629,0.4692195831313621,0.7387640449438203,0.5611247183655124
SHP1013,Urbancargo,Delhi,Jaipur,287.4,100.6,46.6,2787.32,Yes,0.20734075608492997,0.6755210857973825,0.6956928838951312,0.5839730130385844
SHP1014,Metrologix,Bangalore,Pune,573.9,102.3,31.5,2485.49,Yes,0.7019031589849819,0.6887057682985943,0.41292134831460675,0.4762856179546781
SHP1015,Urbancargo,Bangalore,Lucknow,232.8,82.4,42.3,2157.4,Yes,0.11308907301916099,0.5343674260785265,0.6151685393258427,0.3592291376409958
SHP1016,Metrologix,Chennai,Hyderabad,220.5,57.9,20.7,2342.01,Yes,0.09185655100983937,0.34435288414929716,0.2106741573033707,0.42509459172587777
SHP1017,Transglobal,Chennai,Hyderabad,493.5,87.2,35.4,2258.03,Yes,0.5631149663386846,0.5715947649054774,0.4859550561797753,0.395132071634613
SHP1018,Fastfreight,Mumbai,Lucknow,518.6,84.1,44.2,3941.22,Yes,0.6064431210081133,0.5475521085797382,0.6507490636704121,0.995663319460475
SHP1019,Metrologix,Mumbai,Jaipur,566.5,94.2,37.3,2486.44,Yes,0.6891291213533575,0.6258846340281145,0.5215355805243446,0.4766245604896473
SHP1020,Urbancargo,Delhi,Hyderabad,539.0,58.1,40.5,2814.93,Yes,0.6416580355601588,0.3459040232670868,0.5814606741573034,0.5938237534496323
SHP1021,Transglobal,Mumbai,Jaipur,627.2,70.0,33.9,3568.98,Yes,0.7939107543587088,0.43819680077556955,0.45786516853932585,0.8628549308111254
