shipment_id,region,transport_mode,shipment_volume_kg,distance_km,traffic_level,weather,transportation_cost,delivery_time_hours,delay_hours,on_time
S0001,North,Road,233.6,142.4,Medium,Clear,2084.12,7.98,0.92,1
S0002,West,Rail,54.6,564.8,Low,Clear,727.22,15.3,2.39,0
S0003,East,Road,141.2,314.3,Medium,Rain,1524.77,18.43,6.04,0
S0004,South,Road,288.2,372.3,Low,Cloudy,2714.84,13.85,0.78,1
S0005,South,Road,122.4,735.6,Low,Clear,1588.82,25.14,1.56,1
S0006,West,Rail,314.7,155.6,Low,Clear,1917.47,3.98,0.19,1
S0007,North,Rail,331.7,220.9,Medium,Clear,2028.88,12.09,0.0,1
S0008,East,Road,287.5,415.5,Low,Cloudy,2746.83,15.13,0.22,1
S0009,North,Road,372.7,558.8,Low,Clear,3520.37,23.9,1.05,1
S0010,North,Road,88.0,243.4,Low,Rain,1067.99,8.78,2.27,0
S0011,East,Road,416.1,251.5,High,Rain,3641.58,16.1,7.38,0
S0012,West,Rail,132.5,489.7,Medium,Clear,1214.62,14.32,3.33,0
S0013,East,Road,260.7,1031.8,Low,Cloudy,2845.66,31.03,2.2,0
S0014,West,Road,598.9,364.0,Low,Clear,5206.18,15.87,0.0,1
S0015,East,Air,198.9,220.5,Medium,Clear,3399.74,3.45,2.01,0
S0016,West,Road,248.3,184.3,Low,Cloudy,2281.35,9.84,0.51,1
S0017,East,Road,132.9,322.6,Medium,Clear,1380.16,15.55,1.88,1
S0018,North,Road,595.7,545.0,Medium,Clear,5283.92,20.39,2.11,0
S0019,West,Road,141.4,1276.7,High,Clear,2169.88,39.48,8.95,0
S0020,South,Road,347.5,292.8,Low,Clear,3100.43,12.8,0.0,1
S0021,East,Road,468.1,364.3,Medium,Clear,4129.07,16.79,1.7,1
S0022,South,Road,365.7,814.3,Low,Cloudy,3528.92,25.75,2.16,0
S0023,North,Road,297.3,411.8,High,Rain,2758.05,22.29,6.65,0
S0024,West,Road,258.5,393.1,High,Cloudy,2549.15,19.84,6.67,0
S0025,West,Road,111.4,730.6,Medium,Rain,1436.02,26.55,6.62,0
S0026,East,Road,581.3,369.1,Medium,Clear,5007.33,15.62,2.02,0
S0027,South,Road,284.0,193.4,Low,Rain,2471.06,10.16,2.39,0
S0028,West,Road,248.3,651.4,High,Clear,2483.0,23.28,4.83,0
S0029,East,Rail,126.2,128.4,Medium,Clear,812.9,4.53,1.5,1
S0030,South,Rail,255.2,593.1,Low,Rain,1867.99,14.13,2.94,0
S0031,South,Road,239.6,348.5,Medium,Clear,2442.46,14.16,1.73,1
S0032,North,Road,598.9,294.6,Medium,Clear,5113.06,12.19,2.1,0
S0033,North,Road,248.3,290.3,High,Clear,2234.39,16.11,5.29,0
S0034,East,Road,252.9,321.9,Medium,Clear,2429.74,14.07,0.47,1
S0035,West,Road,127.2,270.8,Medium,Clear,1306.56,10.25,0.38,1
S0036,North,Road,158.1,444.8,Medium,Clear,1760.9,19.43,0.28,1
S0037,West,Road,325.3,276.3,Low,Rain,2918.85,11.68,3.87,0
S0038,West,Road,78.1,101.9,Medium,Clear,826.1,6.23,1.93,1
S0039,South,Road,414.9,349.9,Low,Clear,3681.86,12.27,0.79,1
S0040,East,Road,421.0,98.1,Medium,Clear,3643.63,3.04,0.0,1
S0041,North,Rail,148.4,348.6,Medium,Rain,1130.9,12.1,6.63,0
S0042,West,Road,297.9,267.7,Medium,Clear,2683.12,13.7,1.19,1
S0043,East,Air,476.4,569.8,Low,Clear,7866.65,1.0,0.2,1
S0044,South,Road,228.8,301.6,Low,Clear,2106.33,12.4,1.22,1
S0045,North,Rail,205.2,525.6,Medium,Cloudy,1557.96,18.38,2.01,0
S0046,West,Air,219.8,493.7,Low,Cloudy,3760.17,3.14,0.24,1
S0047,South,Air,283.6,501.0,Low,Cloudy,4826.92,4.61,1.12,1
S0048,West,Rail,170.2,307.6,Medium,Cloudy,1275.99,13.55,6.24,0
S0049,East,Rail,195.3,361.4,Medium,Clear,1411.0,10.04,1.99,1
S0050,West,Road,286.7,438.3,Medium,Clear,2747.13,17.94,4.19,0
S0051,West,Rail,186.2,367.5,Medium,Clear,1346.79,9.71,3.07,0
S0052,North,Road,120.6,301.9,High,Clear,1375.18,14.89,4.73,0
S0053,South,Road,74.0,204.0,Low,Clear,935.06,5.61,0.0,1
S0054,South,Road,251.0,352.2,Medium,Clear,2406.25,14.52,3.26,0
S0055,South,Rail,460.4,137.1,High,Clear,2700.5,13.04,2.35,0
S0056,North,Road,306.2,93.8,Medium,Cloudy,2722.46,7.56,4.45,0
S0057,East,Road,123.4,177.1,Medium,Clear,1240.43,6.36,1.87,1
S0058,North,Road,157.4,497.9,Medium,Cloudy,1639.13,16.22,0.0,1
S0059,East,Road,204.3,397.5,Medium,Cloudy,2056.14,16.83,2.66,0
S0060,East,Road,609.3,500.6,Medium,Clear,5359.76,21.73,3.35,0
S0061,West,Road,627.3,232.7,Medium,Clear,5386.36,11.49,1.46,1
S0062,East,Road,587.6,601.2,Low,Cloudy,5159.96,17.97,2.4,0
S0063,South,Road,265.3,146.9,Low,Cloudy,2333.34,8.55,0.0,1
S0064,West,Road,1036.1,181.0,Medium,Clear,8593.64,8.74,0.06,1
S0065,South,Road,162.0,595.6,Low,Clear,1799.67,16.84,0.46,1
S0066,South,Road,200.1,381.8,Medium,Cloudy,1887.07,13.44,2.84,0
S0067,West,Road,397.6,502.2,Medium,Cloudy,3657.64,21.81,3.05,0
S0068,South,Road,287.6,398.4,High,Clear,2598.04,12.9,5.6,0
S0069,North,Road,296.7,252.1,Low,Clear,2640.27,10.39,0.0,1
S0070,South,Air,135.9,168.4,Medium,Rain,2453.41,6.8,4.7,0
S0071,West,Air,238.7,108.8,Medium,Clear,4040.06,3.81,1.71,1
S0072,North,Road,163.4,851.5,Low,Rain,1888.66,31.13,2.52,0
S0073,South,Road,106.7,125.4,Low,Clear,1084.45,3.73,0.0,1
S0074,North,Road,174.8,717.4,Low,Clear,1975.31,19.38,0.76,1
S0075,East,Rail,287.6,370.3,Low,Clear,1977.15,8.45,2.38,0
S0076,South,Road,362.8,405.2,Low,Clear,3278.15,13.57,0.98,1
S0077,South,Rail,72.4,390.7,Medium,Rain,745.14,13.63,2.54,0
