shipment_id,carrier,vehicle_type,region_type,weather,distance_km,weight_kg,num_stops,traffic_index,driver_experience_years,delivery_time_hours
ORD2000,TransGlobal,Van,Urban,Clear,118.6,1.0,5,0.58,1.5,6.39
ORD2001,FastFreight,Mini-Truck,Urban,Rain,94.5,64.7,3,0.28,4.1,6.8
ORD2002,TransGlobal,Truck,Urban,Rain,160.2,26.2,4,0.51,0.7,9.41
ORD2003,FastFreight,Truck,Urban,Clear,281.9,168.5,3,0.89,1.4,11.09
ORD2004,SwiftShip,Truck,Urban,Clear,226.3,63.0,5,0.5,1.0,9.93
ORD2005,UrbanCargo,Van,Rural,Clear,214.8,48.1,3,0.61,2.3,10.59
ORD2006,TransGlobal,Van,Rural,Fog,135.7,124.9,6,0.96,4.2,12.42
ORD2007,UrbanCargo,Van,Urban,Fog,220.7,86.6,4,0.49,3.1,11.23
ORD2008,MetroLogix,Mini-Truck,Urban,Clear,172.4,101.0,6,0.42,7.1,9.39
ORD2009,FastFreight,Bike,Urban,Storm,382.4,79.3,4,0.53,3.4,15.46
ORD2010,MetroLogix,Van,Suburban,Clear,175.6,78.0,2,0.51,0.7,8.22
ORD2011,MetroLogix,Mini-Truck,Urban,Clear,155.6,56.7,2,0.97,5.1,9.67
ORD2012,TransGlobal,Van,Suburban,Clear,55.8,80.2,4,0.21,12.5,2.64
ORD2013,UrbanCargo,Van,Urban,Clear,286.4,115.9,2,0.32,2.3,8.71
ORD2014,FastFreight,Van,Urban,Fog,122.6,76.2,3,0.83,3.1,9.24
ORD2015,UrbanCargo,Mini-Truck,Urban,Rain,46.6,66.4,4,0.2,1.4,3.52
ORD2016,SwiftShip,Van,Rural,Storm,218.4,69.4,4,0.55,0.8,17.48
ORD2017,FastFreight,Van,Urban,Clear,68.6,41.8,2,0.76,4.9,5.31
ORD2018,MetroLogix,Mini-Truck,Urban,Rain,350.2,98.9,2,0.25,10.6,11.19
ORD2019,TransGlobal,Van,Suburban,Clear,257.3,57.7,4,0.45,5.3,10.02
ORD2020,SwiftShip,Mini-Truck,Suburban,Storm,143.0,74.2,2,0.42,3.5,11.28
ORD2021,UrbanCargo,Mini-Truck,Urban,Rain,44.2,109.3,3,0.61,11.0,5.2
ORD2022,FastFreight,Truck,Rural,Clear,40.4,27.4,2,0.7,5.0,3.48
ORD2023,SwiftShip,Van,Urban,Rain,187.9,58.7,4,0.81,5.1,9.81
ORD2024,FastFreight,Truck,Rural,Storm,113.9,46.9,5,0.28,2.4,11.67
ORD2025,TransGlobal,Mini-Truck,Suburban,Clear,170.1,88.9,2,0.39,0.8,7.98
ORD2026,FastFreight,Van,Urban,Clear,186.0,107.4,4,0.81,0.9,7.85
ORD2027,MetroLogix,Van,Urban,Clear,56.6,82.7,3,0.9,5.0,4.29
ORD2028,UrbanCargo,Truck,Suburban,Clear,214.4,70.5,4,0.46,8.3,9.58
ORD2029,TransGlobal,Truck,Rural,Clear,150.9,96.3,6,0.25,2.9,9.3
ORD2030,SwiftShip,Bike,Suburban,Rain,307.7,39.2,3,0.31,6.0,12.38
ORD2031,TransGlobal,Mini-Truck,Rural,Rain,126.5,76.5,3,0.83,4.4,10.36
ORD2032,SwiftShip,Mini-Truck,Suburban,Clear,36.5,47.9,7,0.31,2.0,3.07
ORD2033,FastFreight,Mini-Truck,Urban,Fog,125.3,62.3,3,0.37,1.5,7.72
ORD2034,UrbanCargo,Truck,Urban,Clear,87.7,84.2,6,0.35,1.9,7.17
ORD2035,SwiftShip,Bike,Suburban,Clear,132.4,106.3,2,0.53,2.3,5.03
ORD2036,FastFreight,Mini-Truck,Urban,Fog,70.0,105.7,1,0.71,3.8,8.8
ORD2037,UrbanCargo,Van,Urban,Clear,170.9,68.3,4,0.31,2.5,8.64
ORD2038,FastFreight,Truck,Urban,Clear,346.3,42.3,6,0.58,0.6,11.22
ORD2039,FastFreight,Truck,Suburban,Clear,194.8,54.4,5,0.94,2.9,8.98
ORD2040,TransGlobal,Van,Rural,Clear,243.4,93.3,2,0.6,4.6,9.96
ORD2041,SwiftShip,Bike,Suburban,Rain,141.8,96.1,1,0.59,4.1,8.06
ORD2042,UrbanCargo,Mini-Truck,Urban,Clear,41.4,110.5,5,0.79,2.9,6.92
ORD2043,MetroLogix,Truck,Urban,Fog,204.3,44.9,3,0.65,7.1,9.86
ORD2044,MetroLogix,Bike,Suburban,Clear,85.5,83.7,3,0.55,6.6,5.53
ORD2045,TransGlobal,Bike,Rural,Rain,132.4,94.9,6,0.87,1.6,10.72
ORD2046,FastFreight,Van,Urban,Fog,323.7,84.9,1,0.31,4.0,10.37
ORD2047,FastFreight,Van,Urban,Fog,220.0,66.3,5,0.36,2.5,11.25
ORD2048,TransGlobal,Bike,Suburban,Rain,235.9,79.1,2,0.99,4.5,11.81
ORD2049,FastFreight,Van,Urban,Rain,102.7,79.9,2,0.41,1.9,9.35
ORD2050,SwiftShip,Van,Urban,Clear,154.6,54.4,2,0.26,3.1,4.42
ORD2051,MetroLogix,Truck,Suburban,Clear,128.8,62.3,4,0.33,3.3,7.43
ORD2052,MetroLogix,Van,Urban,Clear,118.1,39.3,2,0.96,0.3,4.94
ORD2053,MetroLogix,Bike,Urban,Clear,201.5,10.0,5,0.35,2.4,7.28
ORD2054,MetroLogix,Truck,Suburban,Clear,56.2,99.9,4,0.63,5.3,5.77
ORD2055,TransGlobal,Truck,Urban,Clear,344.5,45.8,3,0.79,2.1,14.17
ORD2056,MetroLogix,Mini-Truck,Rural,Clear,175.9,63.2,3,0.22,9.9,5.12
ORD2057,MetroLogix,Truck,Urban,Clear,394.2,123.0,4,0.43,1.4,12.39
ORD2058,MetroLogix,Mini-Truck,Suburban,Clear,119.2,18.5,6,0.79,,5.48
ORD2059,SwiftShip,Bike,Rural,Rain,287.4,96.1,5,0.42,2.6,14.72
ORD2060,TransGlobal,Mini-Truck,Urban,Clear,222.1,59.2,4,0.48,2.2,7.27
ORD2061,TransGlobal,Truck,Suburban,Clear,162.2,51.5,5,0.65,1.2,6.83
ORD2062,SwiftShip,Mini-Truck,Urban,Clear,121.5,77.9,3,0.84,6.0,5.64
ORD2063,FastFreight,Van,Urban,Clear,124.7,50.3,4,0.45,3.0,6.7
ORD2064,UrbanCargo,Bike,Urban,Clear,90.6,141.1,6,0.33,8.5,6.28
ORD2065,MetroLogix,Mini-Truck,Suburban,Rain,152.7,25.2,6,0.22,1.0,9.58
ORD2066,SwiftShip,Van,Suburban,Clear,249.4,71.9,3,0.42,5.5,7.45
ORD2067,TransGlobal,Truck,Rural,Clear,274.3,29.2,4,0.73,2.3,12.83
ORD2068,SwiftShip,Truck,Urban,Rain,189.4,43.5,4,0.93,5.6,9.29
ORD2069,FastFreight,Van,Suburban,Rain,106.8,32.2,3,0.6,1.2,6.54
ORD2070,FastFreight,Van,Suburban,Clear,127.1,126.3,3,0.32,8.9,6.67
ORD2071,FastFreight,Mini-Truck,Urban,Rain,114.2,98.4,4,0.7,3.7,10.12
ORD2072,SwiftShip,Bike,Urban,Clear,181.4,141.0,3,0.28,2.1,5.88
ORD2073,UrbanCargo,Truck,Urban,Storm,168.8,141.6,4,0.3,5.7,11.54
ORD2074,SwiftShip,Mini-Truck,Suburban,Clear,61.5,121.7,5,0.31,4.1,4.03
ORD2075,MetroLogix,Van,Urban,Clear,100.0,97.2,4,0.94,0.1,6.85
ORD2076,FastFreight,Mini-Truck,Urban,Clear,213.7,135.5,1,0.7,2.3,9.83
ORD2077,UrbanCargo,Bike,Suburban,Clear,66.5,25.4,3,0.21,,2.42
ORD2078,MetroLogix,Mini-Truck,Urban,Fog,114.7,54.4,4,0.94,2.8,8.74
ORD2079,MetroLogix,Truck,Urban,Storm,134.7,21.5,5,0.51,0.4,11.46
ORD2080,SwiftShip,Van,Suburban,Clear,92.1,77.0,2,0.33,5.8,3.46
ORD2081,TransGlobal,Bike,Rural,Clear,161.4,93.5,5,0.74,4.9,7.58
ORD2082,MetroLogix,Van,Urban,Clear,40.7,79.7,4,0.61,3.6,4.4
ORD2083,FastFreight,Mini-Truck,Suburban,Clear,292.6,87.9,4,0.7,5.1,13.37
ORD2084,MetroLogix,Van,Urban,Clear,393.6,88.8,5,0.55,4.2,11.74
ORD2085,UrbanCargo,Truck,Suburban,Clear,50.8,79.7,1,0.38,2.5,1.17
ORD2086,SwiftShip,Mini-Truck,Urban,Clear,246.4,28.9,3,0.2,1.4,8.01
ORD2087,SwiftShip,Van,Urban,Clear,85.1,70.6,1,0.73,8.5,3.71
ORD2088,SwiftShip,Van,Urban,Clear,203.8,47.9,5,0.59,5.1,7.17
ORD2089,TransGlobal,Van,Urban,Clear,420.2,58.7,3,0.54,1.4,11.43
ORD2090,UrbanCargo,Mini-Truck,Rural,Clear,211.4,126.1,5,0.7,1.3,11.17
ORD2091,TransGlobal,Truck,Rural,Clear,295.6,71.3,4,0.6,2.1,13.93
ORD2092,TransGlobal,Truck,Suburban,Clear,76.3,36.9,7,0.93,3.7,8.18
ORD2093,UrbanCargo,Mini-Truck,Urban,Clear,92.9,74.3,6,0.78,2.4,6.52
ORD2094,UrbanCargo,Van,Urban,Rain,151.3,62.0,3,,2.3,10.13
ORD2095,FastFreight,Van,Rural,Storm,272.9,106.7,3,0.39,3.9,15.66
ORD2096,UrbanCargo,Truck,Suburban,Clear,273.8,77.8,3,0.7,1.2,10.66
ORD2097,UrbanCargo,Van,Rural,Storm,221.5,40.5,6,0.93,5.9,16.63
ORD2098,MetroLogix,Mini-Truck,Urban,Clear,117.6,81.8,3,0.81,2.4,6.0
ORD2099,FastFreight,Van,Suburban,Fog,200.8,67.8,3,0.51,3.9,9.57
ORD2100,UrbanCargo,Truck,Urban,Rain,171.7,47.5,6,0.79,5.9,10.01
