shipment_id,carrier,origin,destination,distance_km,weight_kg,transit_time_hours,delivery_cost_inr,on_time_flag
SHP1000,MetroLogix,Delhi,Ahmedabad,506.8,24.8,41.0,1545.16,No
SHP1001,TransGlobal,Bangalore,Lucknow,456.5,89.0,41.3,2838.82,Yes
SHP1002,SwiftShip,Mumbai,Pune,723.1,73.2,25.1,2119.24,No
SHP1003,TransGlobal,Mumbai,Lucknow,498.7,103.7,45.3,3097.45,Yes
SHP1004,TransGlobal,Chennai,Jaipur,398.2,73.7,18.4,,Yes
SHP1005,UrbanCargo,Bangalore,Lucknow,,112.5,47.4,2484.77,Yes
SHP1006,SwiftShip,Kolkata,Pune,594.0,63.1,22.8,2396.18,Yes
SHP1007,SwiftShip,Bangalore,Jaipur,667.9,24.2,33.7,2087.1,Yes
SHP1008,SwiftShip,Chennai,Lucknow,436.7,106.3,46.6,3983.37,Yes
SHP1009,TransGlobal,Chennai,Jaipur,567.2,58.9,,2202.48,Yes
SHP1010,METROLOGIX,Bangalore,Hyderabad,275.7,,44.2,3114.11,Yes
SHP1011,SwiftShip,Chennai,Hyderabad,544.1,80.4,42.2,1843.82,Yes
SHP1012,TransGlobal,Bangalore,Lucknow,431.1,74.0,48.9,2723.28,Yes
SHP1013,UrbanCargo,Delhi,Jaipur,287.4,100.6,46.6,2787.32,Yes
SHP1014,MetroLogix,Bangalore,Pune,573.9,102.3,31.5,2485.49,Yes
SHP1015,UrbanCargo,Bangalore,Lucknow,232.8,82.4,42.3,2157.4,Yes
SHP1016,MetroLogix,Chennai,Hyderabad,220.5,57.9,20.7,2342.01,Yes
SHP1017,TransGlobal,Chennai,Hyderabad,493.5,87.2,35.4,2258.03,Yes
SHP1018,FastFreight,Mumbai,Lucknow,518.6,84.1,44.2,3941.22,Yes
SHP1019,MetroLogix,Mumbai,Jaipur,566.5,94.2,37.3,2486.44,Yes
SHP1020,UrbanCargo,Delhi,Hyderabad,539.0,58.1,40.5,2814.93,Yes
SHP1021,TransGlobal,Mumbai,Jaipur,627.2,70.0,33.9,3568.98,Yes
SHP1022,MetroLogix,Bangalore,Hyderabad,534.0,92.7,47.3,1974.21,Yes
SHP1023,FASTFREIGHT,Chennai,Hyderabad,434.1,111.2,35.2,2522.6,Yes
SHP1024,FastFreight,Mumbai,Ahmedabad,441.2,104.1,31.3,2338.49,Yes
SHP1025,SwiftShip,Mumbai,Hyderabad,416.1,82.1,44.9,2448.32,No
SHP1026,SwiftShip,Delhi,Pune,485.5,67.8,21.9,,Yes
SHP1027,UrbanCargo,Delhi,Lucknow,318.3,90.1,41.0,2060.87,Yes
SHP1028,MetroLogix,Bangalore,Lucknow,490.9,52.7,25.6,20938.0,Yes
SHP1029,MetroLogix,Chennai,Jaipur,439.6,59.6,48.8,1862.42,Yes
SHP1030,SwiftShip,Delhi,Hyderabad,483.1,117.7,33.4,,Yes
SHP1031,MetroLogix,Mumbai,Pune,483.4,,37.3,2873.99,No
SHP1032,MetroLogix,Chennai,Jaipur,155.7,71.3,40.1,2203.92,Yes
SHP1033,FastFreight,Chennai,Ahmedabad,341.8,100.7,16.7,2233.01,Yes
SHP1034,SwiftShip,Mumbai,Jaipur,437.0,112.2,29.5,2665.31,No
SHP1035,TransGlobal,Delhi,Jaipur,443.3,68.9,46.4,2020.87,Yes
SHP1036,SwiftShip,Mumbai,Hyderabad,481.1,69.3,44.7,3587.19,Yes
SHP1037,TransGlobal,Chennai,Ahmedabad,486.3,66.2,38.8,2714.76,Yes
SHP1038,FastFreight,Kolkata,Jaipur,631.9,104.1,22.5,2735.96,Yes
SHP1039,UrbanCargo,Kolkata,Pune,487.5,104.3,41.9,2908.87,No
SHP1040,MetroLogix,Bangalore,Pune,412.4,114.6,43.1,2152.32,No
SHP1041,FastFreight,Mumbai,Lucknow,258.1,105.2,36.5,3153.41,Yes
SHP1042,MetroLogix,Mumbai,Ahmedabad,285.8,39.2,48.2,2568.72,Yes
SHP1043,UrbanCargo,Bangalore,Ahmedabad,514.3,87.0,29.2,3070.09,Yes
SHP1044,UrbanCargo,Bangalore,Lucknow,577.3,53.5,30.9,2381.23,Yes
SHP1045,FastFreight,Bangalore,Jaipur,,67.2,11.2,3290.37,No
SHP1046,UrbanCargo,Chennai,Ahmedabad,,84.3,45.2,2740.81,Yes
SHP1047,TransGlobal,Mumbai,Pune,413.5,100.9,39.1,3809.5,Yes
SHP1048,UrbanCargo,Chennai,Pune,479.1,57.7,19.2,2278.29,Yes
SHP1049,MetroLogix,Bangalore,Hyderabad,695.7,21.9,18.4,2622.73,Yes
SHP1050,MetroLogix,Mumbai,Ahmedabad,463.8,84.5,27.3,1881.05,Yes
SHP1051,MetroLogix,Chennai,Jaipur,636.2,146.1,43.9,2182.42,Yes
SHP1052,MetroLogix,Chennai,Lucknow,470.4,74.9,33.0,2871.21,Yes
SHP1053,TransGlobal,Bangalore,Lucknow,588.4,81.2,28.0,3177.59,Yes
SHP1054,SwiftShip,Mumbai,Jaipur,573.2,124.6,25.9,4279.01,No
SHP1055,FastFreight,Bangalore,Hyderabad,,94.8,25.5,2442.02,Yes
SHP1056,MetroLogix,Mumbai,Lucknow,327.6,85.4,16.7,1940.07,Yes
SHP1057,UrbanCargo,Kolkata,Ahmedabad,417.7,91.1,23.9,2952.0,Yes
SHP1058,MetroLogix,Delhi,Hyderabad,628.7,86.3,25.3,1823.3,Yes
SHP1059,UrbanCargo,Delhi,Ahmedabad,555.3,51.5,42.8,2838.57,Yes
SHP1060,UrbanCargo,Delhi,Pune,398.0,46.5,34.3,2198.65,Yes
SHP1061,MetroLogix,Bangalore,Hyderabad,408.9,,,2626.96,Yes
SHP1062,TransGlobal,Kolkata,Lucknow,242.3,84.6,59.1,3154.63,Yes
SHP1063,UrbanCargo,Mumbai,Hyderabad,623.3,82.5,29.4,2433.56,Yes
SHP1064,UrbanCargo,Chennai,Hyderabad,556.3,77.7,47.7,,Yes
SHP1065,MetroLogix,Mumbai,Hyderabad,433.6,99.5,52.2,3023.9,No
SHP1066,UrbanCargo,Chennai,Hyderabad,474.0,,20.3,1381.4,Yes
SHP1067,UrbanCargo,Mumbai,Ahmedabad,189.5,93.1,36.7,1959.04,Yes
SHP1068,MetroLogix,Kolkata,Pune,391.6,65.3,30.8,1562.92,Yes
SHP1069,MetroLogix,Chennai,Jaipur,610.1,76.7,30.0,,Yes
SHP1070,FastFreight,Bangalore,Hyderabad,567.8,106.8,41.6,2436.76,Yes
SHP1071,TransGlobal,Mumbai,Lucknow,489.7,65.4,29.8,3568.5,Yes
SHP1072,TransGlobal,Mumbai,Hyderabad,448.2,,,1520.23,No
SHP1073,UrbanCargo,Chennai,Lucknow,545.6,22.0,34.3,2156.34,Yes
SHP1074,TransGlobal,Bangalore,Ahmedabad,416.2,74.3,32.3,2980.3,Yes
SHP1075,UrbanCargo,Bangalore,Lucknow,250.2,95.7,24.3,2607.56,Yes
SHP1076,FastFreight,Kolkata,Jaipur,449.3,111.8,44.0,2819.72,Yes
SHP1077,MetroLogix,Bangalore,Pune,,59.5,232.5,1747.72,Yes
SHP1078,MetroLogix,Bangalore,Lucknow,584.7,42.4,39.4,3326.08,Yes
SHP1079,MetroLogix,Bangalore,Lucknow,277.1,73.5,32.2,2966.21,Yes
SHP1080,TransGlobal,Delhi,Pune,,51.9,28.9,2740.98,No
SHP1081,FastFreight,Kolkata,Jaipur,441.0,76.3,29.0,2088.63,Yes
SHP1082,TransGlobal,Mumbai,Hyderabad,317.8,79.8,59.6,2694.28,Yes
SHP1083,TransGlobal,Chennai,Lucknow,508.5,,45.4,2325.11,Yes
SHP1084,FastFreight,Mumbai,Pune,539.7,100.1,27.6,1509.71,Yes
SHP1085,FastFreight,Kolkata,Ahmedabad,415.1,76.1,37.6,2469.75,Yes
SHP1086,FastFreight,Chennai,Pune,696.6,,32.4,2405.96,Yes
SHP1087,FastFreight,Kolkata,Ahmedabad,411.7,33.9,41.8,3137.44,Yes
SHP1088,MetroLogix,Bangalore,Jaipur,396.4,54.6,41.4,1159.34,Yes
SHP1089,SwiftShip,Chennai,Hyderabad,392.9,92.9,46.8,2641.12,Yes
SHP1090,SwiftShip,Bangalore,Pune,352.1,60.0,27.5,1806.66,Yes
SHP1091,FastFreight,Mumbai,Lucknow,382.9,75.9,37.0,2691.53,No
SHP1092,SwiftShip,Mumbai,Jaipur,277.9,80.0,,2724.57,Yes
SHP1093,SwiftShip,Chennai,Pune,427.0,84.0,23.4,2447.89,Yes
SHP1094,FastFreight,Chennai,Lucknow,456.9,63.1,44.8,,Yes
SHP1095,SwiftShip,Kolkata,Pune,176.1,83.7,,1752.54,Yes
SHP1096,TransGlobal,Kolkata,Ahmedabad,437.8,60.4,27.6,3164.63,Yes
SHP1097,UrbanCargo,Bangalore,Pune,455.1,96.9,35.9,2075.15,No
SHP1098,UrbanCargo,Chennai,Pune,511.8,77.1,42.9,1566.46,Yes
SHP1099,FastFreight,Mumbai,Pune,594.6,83.9,25.4,2336.56,Yes
SHP1100,METROLOGIX,Kolkata,Jaipur,552.2,144.2,1.2,1242.91,Yes
SHP1101,FastFreight,Kolkata,Pune,375.6,52.3,27.3,2652.5,Yes
SHP1102,MetroLogix,Mumbai,Lucknow,361.6,114.7,48.1,2344.45,Yes
SHP1103,UrbanCargo,Kolkata,Ahmedabad,519.5,13.5,39.4,3240.21,Yes
SHP1104,FastFreight,Bangalore,Ahmedabad,384.3,28.0,49.2,2889.35,No
SHP1105,TransGlobal,Chennai,Pune,302.6,49.0,24.7,1664.8,Yes
SHP1106,SwiftShip,Mumbai,Jaipur,734.9,50.6,19.6,1996.97,Yes
SHP1107,MetroLogix,Chennai,Jaipur,412.7,85.1,40.6,2812.4,Yes
SHP1108,SwiftShip,Kolkata,Lucknow,374.8,87.2,,3008.25,Yes
SHP1109,SwiftShip,Kolkata,Pune,,,39.1,3233.5,Yes
SHP1110,FastFreight,Mumbai,Ahmedabad,552.2,76.3,45.3,3228.71,Yes
SHP1111,SwiftShip,Bangalore,Jaipur,331.4,93.2,40.2,2446.29,Yes
SHP1112,TransGlobal,Delhi,Pune,453.4,100.8,40.1,2717.59,Yes
SHP1113,SwiftShip,Mumbai,Jaipur,566.2,46.8,43.2,3279.24,Yes
SHP1114,FastFreight,Delhi,Jaipur,333.3,,41.0,2318.01,Yes
SHP1115,TransGlobal,Delhi,Ahmedabad,459.5,78.3,44.6,2727.84,No
SHP1116,UrbanCargo,Bangalore,Hyderabad,632.9,,230.5,2303.87,Yes
SHP1117,SwiftShip,Delhi,Lucknow,155.2,60.7,51.3,2169.43,Yes
SHP1118,FastFreight,Delhi,Lucknow,352.7,77.8,29.5,2529.03,Yes
SHP1119,UrbanCargo,Bangalore,Ahmedabad,341.5,80.7,40.8,2087.47,No
SHP1120,UrbanCargo,Delhi,Jaipur,427.6,62.4,32.3,2421.45,No
SHP1121,MetroLogix,Delhi,Pune,444.3,61.8,27.7,,Yes
SHP1122,TransGlobal,Delhi,Jaipur,322.6,82.5,29.1,2386.0,No
SHP1123,SwiftShip,Mumbai,Ahmedabad,371.5,76.7,40.9,2769.03,Yes
SHP1124,FastFreight,Mumbai,Lucknow,357.2,92.5,40.2,2146.74,Yes
SHP1125,MetroLogix,Mumbai,Jaipur,407.9,53.7,40.0,2505.58,Yes
SHP1126,TransGlobal,Bangalore,Lucknow,476.2,71.2,33.7,2583.61,Yes
SHP1127,MetroLogix,Kolkata,Pune,559.3,74.3,36.0,2771.52,Yes
SHP1128,TransGlobal,Delhi,Lucknow,576.6,100.3,221.0,2419.85,No
SHP1129,TransGlobal,Delhi,Lucknow,528.4,56.5,21.1,25212.16,Yes
SHP1130,SwiftShip,Bangalore,Hyderabad,,85.9,36.2,1239.45,Yes
SHP1131,TransGlobal,Delhi,Hyderabad,449.6,86.3,36.9,,Yes
SHP1132,MetroLogix,Mumbai,Hyderabad,734.9,121.2,43.5,1977.32,Yes
SHP1133,TransGlobal,Kolkata,Lucknow,571.7,54.8,22.5,2742.03,Yes
SHP1134,SwiftShip,Chennai,Ahmedabad,397.1,63.6,51.0,1936.92,Yes
SHP1135,SwiftShip,Delhi,Lucknow,639.8,56.6,38.1,2886.56,Yes
SHP1136,MetroLogix,Mumbai,Ahmedabad,403.4,38.3,38.7,2665.94,No
SHP1137,UrbanCargo,Chennai,Ahmedabad,369.8,124.1,32.0,,Yes
SHP1138,UrbanCargo,Kolkata,Hyderabad,617.5,49.0,41.4,3143.85,Yes
SHP1139,TransGlobal,Chennai,Jaipur,292.8,59.6,36.5,2401.62,Yes
SHP1140,FastFreight,Mumbai,Pune,220.3,112.9,48.1,2828.33,Yes
SHP1141,TransGlobal,Chennai,Hyderabad,,36.2,21.6,1949.7,Yes
SHP1142,MetroLogix,Bangalore,Hyderabad,453.3,98.9,37.8,19851.76,Yes
SHP1143,METROLOGIX,Chennai,Jaipur,465.3,44.7,,3702.04,No
SHP1144,MetroLogix,Delhi,Pune,406.6,111.2,34.1,3077.78,Yes
SHP1145,MetroLogix,Delhi,Lucknow,421.4,25.8,32.0,2684.57,No
SHP1146,MetroLogix,Bangalore,Lucknow,395.0,36.2,32.4,2230.65,No
SHP1147,SwiftShip,Mumbai,Hyderabad,374.9,66.4,37.7,2540.5,Yes
SHP1148,UrbanCargo,Delhi,Pune,404.2,104.3,17.9,2618.54,No
SHP1149,MetroLogix,Kolkata,Hyderabad,,79.2,45.7,2769.54,Yes
SHP1150,FastFreight,Delhi,Ahmedabad,350.6,71.6,31.2,1854.0,Yes
SHP1151,FastFreight,Delhi,Hyderabad,384.6,113.7,37.3,,Yes
SHP1152,FastFreight,Mumbai,Hyderabad,149.7,133.9,39.7,1846.24,No
SHP1153,FastFreight,Chennai,Lucknow,532.2,96.8,30.7,3478.68,No
SHP1154,SwiftShip,Delhi,Lucknow,496.8,64.4,34.7,2037.02,Yes
SHP1155,FastFreight,Bangalore,Lucknow,439.8,69.5,15.6,2677.98,Yes
SHP1156,MetroLogix,Chennai,Ahmedabad,478.5,47.8,,3103.09,Yes
SHP1157,TransGlobal,Kolkata,Lucknow,482.8,82.5,46.8,2348.57,Yes
SHP1158,FastFreight,Mumbai,Pune,363.1,39.3,19.0,2704.36,Yes
SHP1159,SwiftShip,Kolkata,Jaipur,386.1,93.8,31.9,3361.11,Yes
SHP1160,SwiftShip,Chennai,Pune,513.4,130.1,23.7,2838.64,Yes
SHP1161,FastFreight,Chennai,Pune,474.9,97.9,34.2,2713.33,Yes
SHP1162,TransGlobal,Chennai,Lucknow,695.2,68.3,42.5,1489.13,No
SHP1163,FastFreight,Kolkata,Jaipur,644.4,93.2,45.9,1939.77,Yes
SHP1164,SwiftShip,Chennai,Jaipur,562.0,120.5,47.2,3128.15,No
SHP1165,UrbanCargo,Kolkata,Jaipur,358.6,119.3,49.1,,Yes
SHP1166,MetroLogix,Chennai,Ahmedabad,382.3,54.9,33.8,2932.88,No
SHP1167,SwiftShip,Bangalore,Lucknow,329.8,92.8,24.5,23049.92,No
SHP1168,FastFreight,Chennai,Jaipur,483.6,76.0,34.9,3273.85,Yes
SHP1169,MetroLogix,Kolkata,Ahmedabad,121.1,100.2,42.3,2343.16,Yes
SHP1170,FastFreight,Delhi,Hyderabad,395.0,89.6,23.7,2572.3,Yes
SHP1171,FastFreight,Chennai,Hyderabad,413.2,20.8,52.6,1882.8,Yes
SHP1172,UrbanCargo,Delhi,Ahmedabad,267.1,71.3,45.0,1733.19,Yes
SHP1173,MetroLogix,Bangalore,Ahmedabad,545.7,85.0,,1513.76,Yes
SHP1174,MetroLogix,Mumbai,Lucknow,313.3,44.1,28.9,1968.9,Yes
SHP1175,UrbanCargo,Bangalore,Lucknow,482.1,94.5,29.3,3431.54,Yes
SHP1176,SWIFTSHIP,Chennai,Hyderabad,784.1,41.9,,1568.36,Yes
SHP1177,FastFreight,Delhi,Jaipur,256.7,60.0,33.7,2317.88,Yes
